"ALL GROUPS","TODOS LOS GRUPOS"
"Customer Group","Grupo del cliente"
"Minimum Qty","Cantidad Mínima"
"Add Minimum Qty","Añadir cantidad mínima"
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"The stock item for Product is not valid.","Es estado de existencia para el artículo no es válido."
"This product is out of stock.","This product is out of stock."
"Some of the products are out of stock.","Some of the products are out of stock."
"The stock item for Product in option is not valid.","Es estado de existencia para la opción selectada no es válido."
"Undefined product type","Undefined product type"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","No hay pedidos pendientes"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"In Stock","En existencias"
"Out of Stock","Fuera de existencias"
"Stock Item with id ""%1"" does not exist.","Stock Item with id ""%1"" does not exist."
"Stock with id ""%1"" does not exist.","Stock with id ""%1"" does not exist."
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Please correct the quantity for some products."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many \"%1\" as you requested.","We don't have as many \"%1\" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in quantities of %2 at a time.","You can buy %1 only in quantities of %2 at a time."
"You can buy this product only in quantities of %1 at a time.","You can buy this product only in quantities of %1 at a time."
"Decimal qty increments is not allowed.","Decimal qty increments is not allowed."
"%1 is available to buy in increments of %2","%1 is available to buy in increments of %2"
"Only %1 left","Only %1 left"
"Product availability","Product availability"
"Product Name","Nombre del producto"
"Qty","Cantidad"
"Inventory","Inventario"
"Stock Options","Opciones de existencias"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando la orden de venta se cancele"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Only X left Threshold","Quedan X en almacén desde"
"Display products availability in stock on Storefront.","Display products availability in stock on Storefront."
"Product Stock Options","Opciones de existencias de artículo"
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                "
"Manage Stock","Gestionar existencias"
"Backorders","Pedidos pendientes"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock","Stock"
"Index stock","Index stock"
"Quantity","Cantidad"
