"Default Config","Configuración por defecto"
"Save Config","Konfiguration speichern"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSEITE]"
"[STORE VIEW]","[VISTA DE TIENDA]"
"Use Default","Verwende Voreinstellungen"
"Use Website","Webseite verwenden"
"Add","Agregar"
"Delete File","Datei löschen"
"Search String","Cadena de búsqueda"
"Design Theme","Tema del diseño"
"Add \Exception","Add \Exception"
"-- No Theme --","-- No Theme --"
"Enable","Activado"
"Disable","Desactivar"
"Configuration","Configuración"
"System","Gestionar sistema"
"You saved the configuration.","You saved the configuration."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
"Page not found.","Página no encontrada."
"Please specify the admin custom URL.","Bitte geben Sie die individuelle Admin-URL an."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","No se puede guardar la expresión Cron."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected is not available in allowed currencies.","Sorry, the default display currency you selected is not available in allowed currencies."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximale Absender-Länge beträgt 255 Zeichen. Bitte korrigieren Sie Ihre Einstellungen."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","El directorio base para cargar el archivo no ha sido especificado."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Geltungsbereich (voreingestellt)"
"Base currency","Basiswährung"
"Display default currency","Voreingestellte Währung anzeigen"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"Always (during development)","Immer (während der Entwicklung)"
"Only Once (version upgrade)","Nur einmal (Upgrade der Version)"
"Never (production)","Niemals (Produktivumgebung)"
"Bcc","Bcc"
"Separate Email","Separate eMail"
"%1 (Default)","%1 (Default)"
"title","Título"
"No","No 	"
"Optional","Freiwillig"
"Required","Requerido"
"Website","Página web"
"Store","Tienda"
"Store View","Vista de la tienda"
"HTTP (unsecure)","HTTP (ungesichert)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Ja (302 Gefunden)"
"Yes (301 Moved Permanently)","Ja (301 Dauerhaft entfernt)"
"Yes","Sí"
"Specified","Especificado"
"Config form fieldset clone model required to be able to clone fields","Config Felder-Formular als Klon-Modell erforderlich, um Felder klonen zu können"
"Invalid XML in file %1:
%2","Invalid XML in file %1:
%2"
".","."
"some_label","some_label"
"some_comment","some_comment"
"some prefix","some prefix"
"element label","element label"
"element hint","element hint"
"element comment","element comment"
"element tooltip","element tooltip"
"test","test"
"test2","test2"
"Add after","Hinzufügen nach"
"Delete","Borrar"
"Current Configuration Scope:","Aktueller Konfigurationsbereich:"
"Stores","Tiendas"
"Group Label","Group Label"
"Some Label","Some Label"
"Tab Label","Tab Label"
"Field 2","Field 2"
"Field 3","Field 3"
"Field 3.1","Field 3.1"
"Field 3.1.1","Field 3.1.1"
"Field 4","Field 4"
