"Add New Template","Agregar Nueva Plantilla"
"Transactional Emails","Correos electrónicos transaccionales"
"Back","Volver"
"Reset","Restablecer"
"Delete Template","Eliminar plantilla"
"Convert to Plain Text","Convertir a texto sin formato"
"Return Html Version","HTML-Version ausgeben"
"Preview Template","Vista previa de la plantilla"
"Save Template","Guardar la plantilla"
"Load Template","Vorlage laden"
"Edit Email Template","eMail-Vorlage bearbeiten"
"New Email Template","Neue eMail-Vorlage"
"Default Config","Konfiguration (voreingestellt)"
"Template Information","Información de la plantilla"
"Currently Used For","Currently Used For"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Insert Variable...","Variable einfügen..."
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"Preview","Vista previa"
"Unknown","Desconocido"
"You deleted the email template.","You deleted the email template."
"The email template is currently being used.","The email template is currently being used."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Editar la plantilla"
"Edit System Template","Systemvorlage bearbeiten"
"New Template","Nueva plantilla"
"New System Template","Neue Systemvorlage"
"Email Templates","Plantillas de correo electrónico"
"Email Preview","Email Preview"
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"This email template no longer exists.","This email template no longer exists."
"You saved the email template.","You saved the email template."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Dirección URL básica insegura"
"Base Secure URL","Dirección URL básica segura"
"General Contact Name","Contacto general - nombre"
"General Contact Email","Contacto general - correo electrónico"
"Sales Representative Contact Name","Nombre de contacto del agente de ventas"
"Sales Representative Contact Email","Correo electrónico de contacto del agente de ventas"
"Custom1 Contact Name","Nombre de contacto del cliente1"
"Custom1 Contact Email","Correo electrónico de contacto del cliente1"
"Custom2 Contact Name","Nombre de contacto del cliente2"
"Custom2 Contact Email","Correo electrónico de contacto del cliente2"
"Store Name","Tienda Nombre"
"Store Phone Number","Número de teléfono de la tienda"
"Store Hours","Store Hours"
"Country","País"
"Region/State","Región/Provincia"
"Zip/Postal Code","Código Postal"
"City","Ciudad"
"Street Address 1","Street Address 1"
"Street Address 2","Dirección postal 2"
"Store Contact Information","Tienda Información de contacto"
"%1","%1"
"Template Variables","Plantillas Variables"
"Please enter a template name.","Please enter a template name."
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"""file"" parameter must be specified","""file"" parameter must be specified"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Invalid sender data","Invalid sender data"
"Title","Título"
"Load default template","Standardvorlage laden"
"Template","Plantilla"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Thank you, %store_name","Thank you, %store_name"
"Emails","Emails"
"Logo Image","Logo imagen"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Logo Image Alt","Texto alternativo al logotipo"
"Logo Width","Logo Width"
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Height","Logo Height"
"Header Template","Header Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Footer Template","Footer Template"
"No Templates Found","No se encontraron plantillas"
"ID","ID"
"Added","Added"
"Updated","Updated"
"Subject","Asunto"
"Template Type","Tipo de plantilla"
"Action","Acción"
