"Indexer Management","Administrar Indexer"
"Update by Schedule","Update by Schedule"
"Update on Save","Actualizar al guardar"
"Reindex required","Reindex required"
"Ready","Listo"
"Processing","Procesando"
"Never","Nunca"
"Index Management","Gestión de índices"
"Please select indexers.","Please select indexers."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Some Exception Message","Some Exception Message"
"Test Phrase","Test Phrase"
"Indexer","Indexer"
"Description","Descripción"
"Mode","Modalidad"
"Status","Estatus"
"Updated","Updated"
