"Search All Products","Search All Products"
"Add Product by SKU","Add Product by SKU"
"Category Products","Artículos de la categoría"
"Position","Posición"
"Action","Acción"
"Unassign","Sin asignar"
"Top","Top"
"Bottom","Bottom"
"Choose a selection...","Elija una selección..."
"Page not found.","Página no encontrada."
"No SKU entered","No SKU entered"
"Undefined Action","Undefined Action"
"Products with the following SKUs do not exist: %s","Products with the following SKUs do not exist: %s"
"%s SKU(s) processed successfully","%s SKU(s) processed successfully"
"On Top","On Top"
"On Bottom","On Bottom"
"Category rules validation failed","Category rules validation failed"
"Clone category ID(s)","Clone category ID(s)"
"Date Created (days ago)","Date Created (days ago)"
"Date Modified (days ago)","Date Modified (days ago)"
"Error in reading category rules","Error in reading category rules"
"There was no category rules to apply","There was no category rules to apply"
"Category rules applied","Category rules applied"
"Equal","Equal"
"Not equal","Not equal"
"Greater than","Greater than"
"Greater than or equal to","Greater than or equal to"
"Less than","Less than"
"Less than or equal to","Less than or equal to"
"Contains","Contains"
"Error in yes/no format","Error in yes/no format"
"Category ID '%1' not found","Category ID '%1' not found"
"%1 doesn't implement SortInterface","%1 doesn't implement SortInterface"
"Move low stock to top","Move low stock to top"
"Name: A - Z","Name: A - Z"
"Name: Z - A","Name: Z - A"
"Newest products first","Newest products first"
"Move out of stock to bottom","Move out of stock to bottom"
"Price: High to low","Price: High to low"
"Price: Low to high","Price: Low to high"
"SKU: Ascending","SKU: Ascending"
"SKU: Descending","SKU: Descending"
"Sort by color","Sort by color"
"Special price to bottom","Special price to bottom"
"Special price to top","Special price to top"
"None","Ninguno"
"Enter SKUs below, one per line","Enter SKUs below, one per line"
"Assign","Asignar"
"Remove","Eliminar"
"You can create a rule only to the existing categories.","You can create a rule only to the existing categories."
"Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category.","Only products matched by rule will be present in the category after save. Unmatched products and manual sorting will be removed from the category."
"Attribute","Atributo"
"Operator","Operator"
"Value","Valor"
"Logic","Logic"
"Add Condition","Add Condition"
"Delete","Borrar"
"Grid","Parrilla"
"Tile","Mosaico"
"records found","registros encontrados"
"per page","por página"
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Página siguiente"
"Draggable","Draggable"
"Close","Cerrar"
"Product image","Product image"
"Match products by rule","Match products by rule"
"Yes","Sí"
"No","No 	"
"Add Products","Añadir productos"
"Save and Close","Save and Close"
"Visual Merchandiser","Visual Merchandiser"
"General Options","Opciones generales"
"Visible Attributes for Category Rules","Visible Attributes for Category Rules"
"Additional attributes usable in category rules","Additional attributes usable in category rules"
"Minimum Stock Threshold","Minimum Stock Threshold"
"Determines which products are 'low stock'","Determines which products are 'low stock'"
"Color Attribute Code","Color Attribute Code"
"Color Order","Color Order"
"Each color being on a separate row.","Each color being on a separate row."
"Sort","Sort"
"Automatic Sorting","Automatic Sorting"
"Sort order","Sort order"
"Thumbnail","Miniatura"
"Name","Nombre 	"
"Price","Precio"
"SKU","SKU"
"Stock","Stock"
