"Widget Insertion","Inserción del widget"
"Insert Widget","Insertar aplicación"
"label","etiqueta"
"Choose...","Elegir..."
"Close","Cerrar"
"Not Selected","No seleccionado"
"Widget","Aplicación"
"Widget Type","Tipo de aplicación"
"-- Please Select --","--Seleccione--"
"Manage Widget Instances","Administrar instancias de aplicación"
"Add Widget","Add Widget"
"Save and Continue Edit","Guardar y continuar editando"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nueva instancia de aplicación"
"Custom Layouts","Custom Layouts"
"Page Layouts","Page Layouts"
"Please Select Container First","Please Select Container First"
"Storefront Properties","Storefront Properties"
"Type","Tipo"
"Design Package/Theme","Diseñar paquete/tema"
"Widget Title","Widget Title"
"Assign to Store Views","Asignar a vistas de tienda"
"Sort Order","Orden de aparición"
"Sort Order of widget instances in the same container","Sort Order of widget instances in the same container"
"Layout Updates","Actualizaciones de diseño"
"Categories","Categorías"
"Anchor Categories","Categorías de ancla"
"Non-Anchor Categories","Categorías no de ancla"
"All Product Types","Todos los tipos de artículos"
"Products","Productos"
"Generic Pages","Páginas genéricas"
"All Pages","Todas las páginas"
"Specified Page","Página especificada"
"Add Layout Update","Agregar actualización de diseño"
"Remove Layout Update","Eliminar actualización de diseño"
"Widget Options","Opciones de aplicación"
"Settings","Ajustes"
"Design Theme","Tema del diseño"
"Continue","Continuar"
"Please specify a Widget Type.","Please specify a Widget Type."
"CMS","CMS"
"Please specify a correct widget.","Please specify a correct widget."
"The widget instance has been deleted.","Se eliminó la instancia de aplicación."
"New Widget","New Widget"
"Widgets","Aplicaciones"
"The widget instance has been saved.","Se guardó la instancia de aplicación."
"name","nombre"
"description","description"
"We cannot create the widget instance because it is missing required information.","We cannot create the widget instance because it is missing required information."
"None","Ninguno"
"%1","%1"
"Container","Contenedor"
"Template","Plantilla"
"All","Todo"
"Specific %1","Specific %1"
"Open Chooser","Abrir el buscador"
"Apply","Aplicar"
"Page","Página"
"Orders and Returns","Pedidos y Devoluciones"
"Orders and Returns Search Form","Buscador de Pedidos y Devoluciones"
"Anchor Custom Title","Anclar título personalizado"
"CMS Page Link Block Template","Plantilla en bloque de la página de enlaces del CMS"
"CMS Page Link Inline Template","Plantilla en línea de la página de enlaces del CMS"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace para cargar una hoja de cálculo"
"Defines whether a link to My Account","Defines whether a link to My Account"
"Link Text","Texto del enlace"
"The text of the link to the My Account &gt; Order by SKU page","El texto del enlace a mi cuenta &gt; comprar por página SKU"
"Load a list of SKUs","Cargar una lista de SKU"
"Product","Producto"
"Select Product...","Seleccionar artículo..."
"Conditions","Condiciones"
"Widget ID","ID de aplicación"
