"Credit card type","Tipo de tarjeta de crédito"
"CVV result","CVV result"
"Postcode AVS check","Postcode AVS check"
"Address AVS check","Address AVS check"
"Country comparison check","Country comparison check"
"Risk Score","Risk Score"
"Not supported","No suportado"
"Not checked","No comprobado"
"Matched","Coincidencias"
"Not matched","No coincide"
"Partially matched","Partially matched"
"No such order id.","No such order id."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Wrong response type"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Not supported response."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","Ninguno"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Refused","Rechazado"
"Authorised","Autorizado"
"Error","Error"
"Captured","Capturado"
"Payment was canceled","Pago fue cancelado"
"Please ","Por favor "
"continue shopping","Continuar comprando"
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Please click ","Por favor, haga clic en "
"here","aquí"
" if you are not redirected automatically."," if you are not redirected automatically."
"Worldpay","Worldpay"
"Enabled","Habilitado"
"Title","Título"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Hide Contact Information"
"Debug","Depurar"
"Test Mode","Modo de prueba"
"Payment Action for Test","Acción de pago para prueba"
"Payment Action","Acción de pago"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Pago desde países específicos"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Orden de aparición"
